"TOA5","DroughtNet","CR1000","73052","CR1000.Std.28.02","CPU:DryNet20151110.CR1","60679","soilM"
"TIMESTAMP","RECORD","BattV_Avg","VW_Avg(1)","VW_Avg(2)","VW_Avg(3)","VW_Avg(4)","VW_Avg(5)","VW_Avg(6)","VW_Avg(7)","VW_Avg(8)","VW_Avg(9)","VW_Avg(10)","VW_Avg(11)","VW_Avg(12)","VW_Avg(13)","VW_Avg(14)","VW_Avg(15)","VW_Avg(16)"
"TS","RN","Volts","","","","","","","","","","","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2018-05-01 12:30:00",1050,13.78,0.043,0.05,0.036,0.026,0.038,0.027,0.053,0.04,0.034,0.022,0.034,0.033,0.037,0.036,0.06,0.048
"2018-05-01 12:45:00",1051,13.77,0.043,0.05,0.036,0.026,0.038,0.027,0.053,0.04,0.034,0.022,0.034,0.033,0.037,0.036,0.06,0.048
"2018-05-01 13:00:00",1052,13.81,0.043,0.051,0.036,0.026,0.038,0.026,0.053,0.04,0.034,0.022,0.034,0.033,0.037,0.035,0.06,0.048
"2018-05-01 13:15:00",1053,13.8,0.043,0.051,0.036,0.026,0.038,0.026,0.053,0.04,0.034,0.022,0.034,0.033,0.037,0.035,0.06,0.048
"2018-05-01 13:30:00",1054,13.82,0.043,0.051,0.036,0.026,0.038,0.027,0.053,0.04,0.034,0.022,0.034,0.033,0.037,0.035,0.06,0.048
"2018-05-01 13:45:00",1055,13.79,0.043,0.051,0.036,0.026,0.038,0.027,0.052,0.04,0.034,0.022,0.033,0.033,0.037,0.035,0.06,0.048
"2018-05-01 14:00:00",1056,13.8,0.043,0.051,0.036,0.026,0.038,0.027,0.052,0.04,0.034,0.022,0.033,0.033,0.037,0.035,0.06,0.048
"2018-05-01 14:15:00",1057,13.81,0.043,0.05,0.036,0.026,0.038,0.027,0.052,0.04,0.034,0.022,0.033,0.033,0.037,0.035,0.06,0.047
"2018-05-01 14:30:00",1058,13.82,0.043,0.051,0.036,0.026,0.038,0.026,0.052,0.039,0.034,0.022,0.033,0.033,0.037,0.035,0.06,0.047
"2018-05-01 14:45:00",1059,13.82,0.043,0.051,0.036,0.026,0.038,0.026,0.052,0.039,0.034,0.022,0.033,0.033,0.037,0.035,0.06,0.047
"2018-05-01 15:00:00",1060,13.81,0.043,0.051,0.036,0.026,0.038,0.026,0.052,0.039,0.034,0.022,0.033,0.033,0.037,0.035,0.059,0.047
"2018-05-01 15:15:00",1061,13.82,0.043,0.05,0.036,0.026,0.037,0.026,0.052,0.039,0.034,0.022,0.033,0.033,0.037,0.035,0.059,0.047
"2018-05-01 15:30:00",1062,13.82,0.043,0.051,0.036,0.026,0.038,0.026,0.052,0.039,0.034,0.022,0.033,0.033,0.037,0.035,0.059,0.047
"2018-05-01 15:45:00",1063,13.84,0.043,0.051,0.036,0.026,0.038,0.026,0.052,0.039,0.034,0.022,0.033,0.033,0.037,0.034,0.059,0.047
"2018-05-01 16:00:00",1064,13.85,0.043,0.051,0.035,0.026,0.038,0.026,0.052,0.039,0.034,0.022,0.033,0.033,0.037,0.034,0.059,0.047
"2018-05-01 16:15:00",1065,13.86,0.043,0.051,0.035,0.026,0.038,0.026,0.052,0.039,0.034,0.022,0.033,0.033,0.037,0.034,0.059,0.047
